| Entity                                                                                     |   Number of occurrences |
| Binding Sites                                                                              |                     252 |
| Nucleocytoplasmic Transport Proteins/genetics/*metabolism                                  |                     251 |
| Protein Structure, Tertiary                                                                |                     246 |
| 0 (MEX67 protein, S cerevisiae)                                                            |                     244 |
| Cytoplasm/metabolism                                                                       |                     243 |
| Adolescent                                                                                 |                     243 |
| Phytic Acid/*metabolism                                                                    |                     242 |
| Phenotype                                                                                  |                     229 |
| DEAD-box RNA Helicases/genetics/*metabolism                                                |                     217 |
| 0 (NUP159 protein, S cerevisiae)                                                           |                     217 |
| Nuclear Pore/metabolism                                                                    |                     213 |
| 0 (RNA, Fungal)                                                                            |                     212 |
| RNA, Messenger/genetics/metabolism                                                         |                     207 |
| 0 (Membrane Proteins)                                                                      |                     205 |
| DNA-Binding Proteins/genetics                                                              |                     204 |
| Rats                                                                                       |                     193 |
| DNA-Binding Proteins/*genetics                                                             |                     191 |
| Nucleocytoplasmic Transport Proteins/genetics/metabolism                                   |                     186 |
| Cell Line, Tumor                                                                           |                     184 |
| Active Transport, Cell Nucleus/physiology                                                  |                     183 |
| Sequence Alignment                                                                         |                     182 |
| Saccharomyces cerevisiae/genetics/*metabolism                                              |                     181 |
| 0 (RNA Precursors)                                                                         |                     177 |
| 0 (Recombinant Proteins)                                                                   |                     176 |
| Signal Transduction                                                                        |                     175 |
| DNA-Binding Proteins/metabolism                                                            |                     174 |
| Child, Preschool                                                                           |                     173 |
| RNA Helicases/genetics/*metabolism                                                         |                     172 |
| 63231-63-0 (RNA)                                                                           |                     171 |
| Nuclear Proteins/*metabolism                                                               |                     168 |
| Child                                                                                      |                     166 |
| 147336-22-9 (Green Fluorescent Proteins)                                                   |                     165 |
| 0 (Fungal Proteins)                                                                        |                     165 |
| Syndrome                                                                                   |                     164 |
| Models, Molecular                                                                          |                     162 |
| Minor Histocompatibility Antigens/*genetics                                                |                     161 |
| *Gene Expression Regulation                                                                |                     160 |
| RNA-Binding Proteins/*metabolism                                                           |                     160 |
| 8L70Q75FXE (Adenosine Triphosphate)                                                        |                     157 |
| RNA Interference                                                                           |                     155 |
| Nuclear Pore/*metabolism                                                                   |                     155 |
| 0 (RNA, Small Interfering)                                                                 |                     154 |
| Protein Conformation                                                                       |                     152 |
| Saccharomyces cerevisiae/metabolism                                                        |                     151 |
| RNA Transport                                                                              |                     147 |
| DEAD-box RNA Helicases/metabolism                                                          |                     147 |
| RNA-Binding Proteins/genetics/*metabolism                                                  |                     146 |
| Mutagenesis, Site-Directed                                                                 |                     146 |
| Cell Differentiation                                                                       |                     145 |
| 0 (Intracellular Signaling Peptides and Proteins)                                          |                     145 |
| Nuclear Proteins/genetics/metabolism                                                       |                     145 |
| 0 (Nerve Tissue Proteins)                                                                  |                     142 |
| Promoter Regions, Genetic                                                                  |                     142 |
| 0 (DNA Primers)                                                                            |                     142 |
| RNA, Messenger/genetics/*metabolism                                                        |                     140 |
| RNA-Binding Proteins/genetics/metabolism                                                   |                     140 |
| *Nucleocytoplasmic Transport Proteins                                                      |                     139 |
| Transcription, Genetic                                                                     |                     139 |
| Biological Transport                                                                       |                     137 |
| Cytoplasm/*metabolism                                                                      |                     136 |
| Nucleocytoplasmic Transport Proteins/*metabolism                                           |                     136 |
| Nuclear Pore Complex Proteins/genetics/*metabolism                                         |                     135 |
| 0 (Peptide Termination Factors)                                                            |                     132 |
| Nucleocytoplasmic Transport Proteins/metabolism                                            |                     132 |
| Crystallography, X-Ray                                                                     |                     132 |
| Kinetics                                                                                   |                     130 |
| *RNA Transport                                                                             |                     129 |
| HEK293 Cells                                                                               |                     129 |
| Saccharomyces cerevisiae Proteins/*metabolism                                              |                     128 |
| 0 (DNA, Complementary)                                                                     |                     128 |
| DEAD-box RNA Helicases/genetics/metabolism                                                 |                     128 |
| 0 (Recombinant Fusion Proteins)                                                            |                     127 |
| Saccharomyces cerevisiae Proteins/genetics/metabolism                                      |                     126 |
| Ribonucleoproteins/metabolism                                                              |                     126 |
| 0 (Repressor Proteins)                                                                     |                     126 |
| 0 (Luminescent Proteins)                                                                   |                     126 |
| Green Fluorescent Proteins                                                                 |                     126 |
| 0 (Trans-Activators)                                                                       |                     125 |
| Exome/genetics                                                                             |                     123 |
| Time Factors                                                                               |                     119 |
| Chromosome Mapping                                                                         |                     119 |
| Adult                                                                                      |                     118 |
| 0 (Gle1 protein, human)                                                                    |                     116 |
| RNA Splicing/*genetics                                                                     |                     114 |
| Plasmids/metabolism                                                                        |                     113 |
| Alleles                                                                                    |                     113 |
| *RNA Helicases                                                                             |                     111 |
| Genotype                                                                                   |                     111 |
| DNA Primers                                                                                |                     110 |
| DNA-Binding Proteins/*genetics/metabolism                                                  |                     109 |
| 0 (Proto-Oncogene Proteins)                                                                |                     109 |
| 0 (RNA Splicing Factors)                                                                   |                     108 |
| RNA Splicing                                                                               |                     108 |
| 0 (Codon, Terminator)                                                                      |                     107 |
| Gene Expression Regulation                                                                 |                     105 |
| Intracellular Signaling Peptides and Proteins/genetics                                     |                     105 |
| Membrane Proteins/genetics                                                                 |                     105 |
| DEAD-box RNA Helicases/*metabolism                                                         |                     105 |
| 0 (NAB2 protein, S cerevisiae)                                                             |                     104 |
| 0 (Receptors, Cell Surface)                                                                |                     104 |
| 0 (Karyopherins)                                                                           |                     103 |
| Ribonucleoproteins/*metabolism                                                             |                     103 |
| 0 (Heterogeneous-Nuclear Ribonucleoproteins)                                               |                     102 |
| EC 2.7.7.- (Eukaryotic Initiation Factor-4A)                                               |                     102 |
| Gene Deletion                                                                              |                     102 |
| Saccharomyces cerevisiae/genetics/metabolism                                               |                     101 |
| 170974-22-8 (Serine-Arginine Splicing Factors)                                             |                     100 |
| Minor Histocompatibility Antigens/genetics                                                 |                     100 |
| *Nuclear Pore Complex Proteins                                                             |                     100 |
| *Saccharomyces cerevisiae Proteins                                                         |                     100 |
| Membrane Proteins/*metabolism                                                              |                     100 |
| Adenosine Triphosphatases/genetics/*metabolism                                             |                      99 |
| Cytoplasm/enzymology                                                                       |                      99 |
| 0 (beta Karyopherins)                                                                      |                      98 |
| Exons                                                                                      |                      97 |
| Saccharomyces cerevisiae Proteins/*genetics/*metabolism                                    |                      96 |
| Mutation/*genetics                                                                         |                      95 |
| 0 (SUP45 protein, S cerevisiae)                                                            |                      95 |
| Nuclear Proteins/metabolism                                                                |                      94 |
| Carrier Proteins/genetics/*metabolism                                                      |                      93 |
| Adenosine Triphosphate/metabolism                                                          |                      93 |
| Microscopy, Fluorescence                                                                   |                      93 |
| Adaptor Proteins, Vesicular Transport/genetics                                             |                      93 |
| 0 (Adaptor Proteins, Vesicular Transport)                                                  |                      93 |
| Ribonucleoproteins/genetics/*metabolism                                                    |                      92 |
| Saccharomyces cerevisiae/*metabolism                                                       |                      92 |
| In Situ Hybridization                                                                      |                      90 |
| Adenosine Triphosphatases/*metabolism                                                      |                      89 |
| EC 2.7.1.- (Phosphotransferases (Alcohol Group Acceptor))                                  |                      89 |
| Conserved Sequence                                                                         |                      89 |
| *gene expression                                                                           |                      88 |
| *Transcription, Genetic                                                                    |                      88 |
| 0 (NUP42 protein, S cerevisiae)                                                            |                      87 |
| Immunohistochemistry                                                                       |                      87 |
| Evolution, Molecular                                                                       |                      87 |
| DNA-Binding Proteins/genetics/*metabolism                                                  |                      86 |
| Pedigree                                                                                   |                      86 |
| Intellectual Disability/*genetics                                                          |                      86 |
| Nuclear Proteins/genetics                                                                  |                      86 |
| 9007-49-2 (DNA)                                                                            |                      86 |
| Nuclear Pore Complex Proteins                                                              |                      85 |
| Mice, Inbred C57BL                                                                         |                      85 |
| 0 (Proteins)                                                                               |                      84 |
| Protein Biosynthesis                                                                       |                      84 |
| 0 (Chromatin)                                                                              |                      83 |
| Recombinant Fusion Proteins/genetics/metabolism                                            |                      82 |
| Young Adult                                                                                |                      82 |
| Gene Expression                                                                            |                      82 |
| Carrier Proteins/genetics                                                                  |                      81 |
| Species Specificity                                                                        |                      80 |
| Amino Acid Motifs                                                                          |                      80 |
| Temperature                                                                                |                      79 |
| RNA, Small Interfering/genetics/metabolism                                                 |                      79 |
| Infant                                                                                     |                      79 |
| Nuclear Pore Complex Proteins/*metabolism                                                  |                      78 |
| Gene Expression Regulation, Fungal                                                         |                      78 |
| mRNA export                                                                                |                      77 |
| Phytic Acid/metabolism                                                                     |                      76 |
| Protein Binding/genetics                                                                   |                      76 |
| Cell Survival                                                                              |                      76 |
| Genetic Complementation Test                                                               |                      76 |
| Cell Proliferation                                                                         |                      75 |
| RNA, Fungal/*metabolism                                                                    |                      75 |
| Two-Hybrid System Techniques                                                               |                      75 |
| Carrier Proteins/*metabolism                                                               |                      75 |
| RNA-Binding Proteins/metabolism                                                            |                      73 |
| In Situ Hybridization, Fluorescence                                                        |                      73 |
| Nucleocytoplasmic Transport Proteins/*genetics/*metabolism                                 |                      73 |
| Genetic Vectors                                                                            |                      73 |
| K562 Cells                                                                                 |                      73 |
| EC 3.5.1.98 (Histone Deacetylases)                                                         |                      73 |
| Immunoprecipitation                                                                        |                      73 |
| EC 2.7.- (Protein Kinases)                                                                 |                      72 |
| Heterozygote                                                                               |                      71 |
| 0 (Zebrafish Proteins)                                                                     |                      71 |
| Sequence Analysis, DNA                                                                     |                      71 |
| Fungal Proteins/genetics/metabolism                                                        |                      71 |
| Zinc Fingers                                                                               |                      71 |
| 0 (Son protein, mouse)                                                                     |                      70 |
| Transfection                                                                               |                      70 |
| EC 2.7.7.- (RNA Nucleotidyltransferases)                                                   |                      70 |
| RNA Helicases                                                                              |                      70 |
| Glutathione Transferase/metabolism                                                         |                      69 |
| EC 2.5.1.18 (Glutathione Transferase)                                                      |                      69 |
| Muscle Proteins/genetics                                                                   |                      69 |
| 0 (RCAN1 protein, human)                                                                   |                      69 |
| 0 (Muscle Proteins)                                                                        |                      69 |
| Cytoplasm/genetics/metabolism                                                              |                      68 |
| Luminescent Proteins/metabolism                                                            |                      68 |
| 0 (exportin 1 protein)                                                                     |                      68 |
| 0 (Receptors, Cytoplasmic and Nuclear)                                                     |                      68 |
| 0 (Membrane Transport Proteins)                                                            |                      67 |
| 0 (Mtr2 protein, S cerevisiae)                                                             |                      67 |
| *Gene Expression Regulation, Viral                                                         |                      67 |
| Minor Histocompatibility Antigens/*genetics/metabolism                                     |                      66 |
| Polyribosomes/metabolism                                                                   |                      66 |
| 9014-25-9 (RNA, Transfer)                                                                  |                      65 |
| Cells, Cultured                                                                            |                      65 |
| Codon, Terminator                                                                          |                      65 |
| Immunoblotting                                                                             |                      65 |
| *Peptide Chain Termination, Translational                                                  |                      64 |
| Protein Processing, Post-Translational                                                     |                      64 |
| *Active Transport, Cell Nucleus                                                            |                      64 |
| Proteins/genetics                                                                          |                      64 |
| 0 (TNIP1 protein, human)                                                                   |                      64 |
| 0 (NFKBIA protein, human)                                                                  |                      64 |
| 0 (Receptors, Calcium-Sensing)                                                             |                      64 |
| Receptors, Interferon/genetics                                                             |                      64 |
| I-kappa B Proteins/genetics                                                                |                      64 |
| 0 (LCE3D protein, human)                                                                   |                      64 |
| 0 (Receptors, Interferon)                                                                  |                      64 |
| 139874-52-5 (NF-KappaB Inhibitor alpha)                                                    |                      64 |
| 0 (AP5B1 protein, human)                                                                   |                      64 |
| 0 (ZNF143 protein, human)                                                                  |                      64 |
| 0 (CASR protein, human)                                                                    |                      64 |
| Psoriasis/*genetics                                                                        |                      64 |
| Receptors, Cell Surface/genetics                                                           |                      64 |
| 0 (AIM2 protein, human)                                                                    |                      64 |
| 0 (Interleukin-1 Receptor-Like 1 Protein)                                                  |                      64 |
| 0 (Microfilament Proteins)                                                                 |                      64 |
| Polymorphism, Single Nucleotide                                                            |                      64 |
| Receptors, Calcium-Sensing/genetics                                                        |                      64 |
| Asians/*genetics                                                                           |                      64 |
| 0 (IL1RL1 protein, human)                                                                  |                      64 |
| NF-KappaB Inhibitor alpha                                                                  |                      64 |
| 0 (Cornified Envelope Proline-Rich Proteins)                                               |                      64 |
| 0 (IL12B protein, human)                                                                   |                      64 |
| Interleukin-12 Subunit p40/genetics                                                        |                      64 |
| Genetic Predisposition to Disease                                                          |                      64 |
| Trans-Activators/genetics                                                                  |                      64 |
| 0 (Interleukin-12 Subunit p40)                                                             |                      64 |
| EC 3.4.21.- (Serine Endopeptidases)                                                        |                      64 |
| Cornified Envelope Proline-Rich Proteins/genetics                                          |                      64 |
| EC 1.5.1.20 (Methylenetetrahydrofolate Reductase (NADPH2))                                 |                      64 |
| Methylenetetrahydrofolate Reductase (NADPH2)/genetics                                      |                      64 |
| Serine Endopeptidases/genetics                                                             |                      64 |
| 0 (IFNGR2 protein, human)                                                                  |                      64 |
| 0 (TMC6 protein, human)                                                                    |                      64 |
| 0 (SYNE2 protein, human)                                                                   |                      64 |
| 0 (I-kappa B Proteins)                                                                     |                      64 |
| Nerve Tissue Proteins/genetics                                                             |                      64 |
| Case-Control Studies                                                                       |                      64 |
| Interleukin-1 Receptor-Like 1 Protein                                                      |                      64 |
| Microfilament Proteins/genetics                                                            |                      64 |
| Middle Aged                                                                                |                      64 |
| EC 1.5.1.20 (MTHFR protein, human)                                                         |                      64 |
| EC 3.4.21- (ZFYVE16 protein, human)                                                        |                      64 |
| Ribosomes/metabolism                                                                       |                      63 |
| RNA Helicases/metabolism                                                                   |                      63 |
| EC 2.7.7.- (RNA Polymerase II)                                                             |                      63 |
| Protein Structure, Secondary                                                               |                      63 |
| RNA, Messenger/genetics                                                                    |                      63 |
| Cytosol/metabolism                                                                         |                      63 |
| Genes, Fungal                                                                              |                      63 |
| Sequence Deletion                                                                          |                      63 |
| Introns                                                                                    |                      62 |
| RNA, Messenger/*genetics                                                                   |                      62 |
| Dose-Response Relationship, Drug                                                           |                      62 |
| Fungal Proteins/*metabolism                                                                |                      62 |
| Genes, Reporter                                                                            |                      62 |
| Chromosomes, Human, Pair 21/genetics                                                       |                      62 |
| Nuclear Envelope/enzymology                                                                |                      62 |
| RNA Nucleotidyltransferases/chemistry/*genetics/*metabolism                                |                      62 |
| Nuclear Proteins                                                                           |                      62 |
| 0 (Macromolecular Substances)                                                              |                      61 |
| Macromolecular Substances                                                                  |                      61 |
| Phylogeny                                                                                  |                      60 |
| 61D2G4IYVH (Adenosine Diphosphate)                                                         |                      60 |
| *RNA Splicing                                                                              |                      60 |
| Age Factors                                                                                |                      60 |
| Jurkat Cells                                                                               |                      60 |
| *Dbp5                                                                                      |                      59 |
| Promoter Regions, Genetic/genetics                                                         |                      59 |
| Saccharomyces cerevisiae/*enzymology/*genetics                                             |                      59 |
| Recombinant Proteins/biosynthesis                                                          |                      59 |
| Organ Specificity                                                                          |                      59 |
| Nucleocytoplasmic Transport Proteins/*chemistry/*metabolism                                |                      58 |
| Luminescent Proteins/genetics/metabolism                                                   |                      58 |
| *Protein Biosynthesis                                                                      |                      58 |
| 0 (Drosophila Proteins)                                                                    |                      58 |
| EC 2.7.7.49 (Telomerase)                                                                   |                      57 |
| RNA Precursors/*metabolism                                                                 |                      57 |
| Gene Expression Regulation, Neoplastic                                                     |                      57 |
| Nuclear Pore Complex Proteins/metabolism                                                   |                      57 |
| Spliceosomes/*metabolism                                                                   |                      57 |
| Gene Expression Regulation/*physiology                                                     |                      57 |
| Minor Histocompatibility Antigens/metabolism                                               |                      56 |
| EC 3.6.1.- (DED1 protein, S cerevisiae)                                                    |                      56 |
| *Chromosomes, Human, Pair 21                                                               |                      56 |
| Binding Sites/physiology                                                                   |                      55 |
| Enzyme Activation/physiology                                                               |                      55 |
| Cell Cycle/genetics                                                                        |                      55 |
| RNA, Fungal/metabolism                                                                     |                      55 |
| RNA Stability                                                                              |                      54 |
| *Gle1                                                                                      |                      54 |
| Crystallization                                                                            |                      54 |
| Transcription Factors/*physiology                                                          |                      54 |
| Plasmids                                                                                   |                      54 |
| 0 (MALAT1 long non-coding RNA, human)                                                      |                      54 |
| 0 (RNA, Long Noncoding)                                                                    |                      54 |
| 0 (NUP116 protein, S cerevisiae)                                                           |                      54 |
| Recombinant Proteins/metabolism                                                            |                      54 |
| Transcription Factors/*metabolism                                                          |                      54 |
| Cell Nucleus/genetics/*metabolism                                                          |                      53 |
| Chromatography, Gel                                                                        |                      53 |
| DNA, Complementary                                                                         |                      53 |
| *Models, Biological                                                                        |                      52 |
| DNA-Binding Proteins/*physiology                                                           |                      52 |
| U937 Cells                                                                                 |                      52 |
| RNA, Fungal/genetics/metabolism                                                            |                      51 |
| RNA Precursors/genetics/metabolism                                                         |                      51 |
| Saccharomyces cerevisiae/*genetics/metabolism                                              |                      51 |
| 0 (Core Binding Factor Alpha 2 Subunit)                                                    |                      51 |
| RNA, Messenger/analysis                                                                    |                      50 |
| Chromosomes, Human, Pair 21/*genetics                                                      |                      50 |
| Peptide Termination Factors/genetics/metabolism                                            |                      50 |
| Genes/*genetics                                                                            |                      50 |
| *Alternative Splicing                                                                      |                      49 |
| RNA/genetics                                                                               |                      49 |
| RNA/metabolism                                                                             |                      49 |
| Karyopherins/metabolism                                                                    |                      49 |
| RNA/*metabolism                                                                            |                      49 |
| Saccharomyces cerevisiae/*enzymology                                                       |                      49 |
| Nuclear Envelope/metabolism                                                                |                      49 |
| 0 (Schizosaccharomyces pombe Proteins)                                                     |                      49 |
| Saccharomyces cerevisiae Proteins/metabolism                                               |                      49 |
| 0 (peptide-chain-release factor 3)                                                         |                      48 |
| Eukaryotic Initiation Factor-4A/chemistry/metabolism                                       |                      48 |
| Trans-Activators/*metabolism                                                               |                      48 |
| DEAD-box RNA Helicases/chemistry/*metabolism                                               |                      47 |
