<<EC 3.6.4.13 (DEAD-box RNA Helicases)>>	<<0 (Nucleocytoplasmic Transport Proteins)>>	<<48>>
<<0 (Saccharomyces cerevisiae Proteins)>>	<<Mutation>>	<<14>>
<<EC 3.6.4.13 (DEAD-box RNA Helicases)>>	<<0 (messenger ribonucleoprotein)>>	<<13>>
<<EC 3.6.4.13 (DEAD-box RNA Helicases)>>	<<Mutation>>	<<13>>
<<0 (Nucleocytoplasmic Transport Proteins)>>	<<Active Transport, Cell Nucleus>>	<<13>>
<<0 (Nucleocytoplasmic Transport Proteins)>>	<<0 (Ribonucleoproteins)>>	<<13>>
<<0 (Nucleocytoplasmic Transport Proteins)>>	<<Protein Binding>>	<<13>>
<<0 (Nucleocytoplasmic Transport Proteins)>>	<<0 (GLE1 protein, S cerevisiae)>>	<<13>>
<<0 (DNA-Binding Proteins)>>	<<Molecular Sequence Data>>	<<13>>
<<Female>>	<<Male>>	<<13>>
<<0 (RNA, Messenger)>>	<<Cell Nucleus/*metabolism>>	<<13>>
<<0 (RNA, Messenger)>>	<<Molecular Sequence Data>>	<<13>>
<<Active Transport, Cell Nucleus>>	<<0 (Saccharomyces cerevisiae Proteins)>>	<<13>>
<<EC 3.6.4.13 (DEAD-box RNA Helicases)>>	<<Active Transport, Cell Nucleus>>	<<12>>
<<EC 3.6.4.13 (DEAD-box RNA Helicases)>>	<<7IGF0S7R8I (Phytic Acid)>>	<<12>>
<<EC 3.6.4.13 (DEAD-box RNA Helicases)>>	<<0 (Nuclear Proteins)>>	<<12>>
<<EC 3.6.4.13 (DEAD-box RNA Helicases)>>	<<Protein Binding>>	<<12>>
<<EC 3.6.4.13 (DEAD-box RNA Helicases)>>	<<DEAD-box RNA Helicases>>	<<12>>
<<EC 3.6.4.13 (DEAD-box RNA Helicases)>>	<<0 (GLE1 protein, S cerevisiae)>>	<<12>>
<<0 (Nucleocytoplasmic Transport Proteins)>>	<<0 (messenger ribonucleoprotein)>>	<<12>>
<<0 (DNA-Binding Proteins)>>	<<0 (RNA, Messenger)>>	<<12>>
<<0 (DNA-Binding Proteins)>>	<<Male>>	<<12>>
<<SON>>	<<0 (GLE1 protein, S cerevisiae)>>	<<12>>
<<0 (RNA, Messenger)>>	<<0 (messenger ribonucleoprotein)>>	<<12>>
<<0 (RNA, Messenger)>>	<<7IGF0S7R8I (Phytic Acid)>>	<<12>>
<<0 (RNA, Messenger)>>	<<0 (Nuclear Proteins)>>	<<12>>
<<0 (Saccharomyces cerevisiae Proteins)>>	<<Saccharomyces cerevisiae Proteins/genetics/*metabolism>>	<<12>>
<<0 (Saccharomyces cerevisiae Proteins)>>	<<0 (Nuclear Proteins)>>	<<12>>
<<0 (Saccharomyces cerevisiae Proteins)>>	<<RNA, Messenger/metabolism>>	<<12>>
<<DEAD-box RNA Helicases>>	<<EC 3.6.4.13 (RNA Helicases)>>	<<12>>
<<Molecular Sequence Data>>	<<Mice>>	<<12>>
<<EC 3.6.4.13 (DEAD-box RNA Helicases)>>	<<Nucleocytoplasmic Transport Proteins/genetics/*metabolism>>	<<11>>
<<0 (Nucleocytoplasmic Transport Proteins)>>	<<Nucleocytoplasmic Transport Proteins/genetics/*metabolism>>	<<11>>
<<0 (Nucleocytoplasmic Transport Proteins)>>	<<7IGF0S7R8I (Phytic Acid)>>	<<11>>
<<0 (Nucleocytoplasmic Transport Proteins)>>	<<0 (Nuclear Proteins)>>	<<11>>
<<0 (Nucleocytoplasmic Transport Proteins)>>	<<RNA, Messenger/metabolism>>	<<11>>
<<0 (Nucleocytoplasmic Transport Proteins)>>	<<DEAD-box RNA Helicases>>	<<11>>
<<EC 3.6.1.- (DDX19B protein, human)>>	<<0 (RNA, Messenger)>>	<<11>>
<<0 (DNA-Binding Proteins)>>	<<HeLa Cells>>	<<11>>
<<0 (RNA, Messenger)>>	<<Protein Binding>>	<<11>>
<<0 (RNA, Messenger)>>	<<Mutation>>	<<11>>
<<0 (Saccharomyces cerevisiae Proteins)>>	<<EC 3.6.4.13 (RNA Helicases)>>	<<11>>
<<Male>>	<<Adolescent>>	<<11>>
<<EC 3.6.4.13 (DEAD-box RNA Helicases)>>	<<DEAD-box RNA Helicases/genetics/*metabolism>>	<<10>>
<<EC 3.6.4.13 (DEAD-box RNA Helicases)>>	<<Saccharomyces cerevisiae Proteins/genetics/*metabolism>>	<<10>>
<<EC 3.6.4.13 (DEAD-box RNA Helicases)>>	<<EC 3.6.1.- (Adenosine Triphosphatases)>>	<<10>>
<<0 (Nucleocytoplasmic Transport Proteins)>>	<<DEAD-box RNA Helicases/genetics/*metabolism>>	<<10>>
<<0 (Nucleocytoplasmic Transport Proteins)>>	<<Saccharomyces cerevisiae Proteins/genetics/*metabolism>>	<<10>>
<<0 (DNA-Binding Proteins)>>	<<Mice>>	<<10>>
<<0 (DNA-Binding Proteins)>>	<<DNA-Binding Proteins/*genetics>>	<<10>>
<<0 (DNA-Binding Proteins)>>	<<Amino Acid Sequence>>	<<10>>
<<0 (Minor Histocompatibility Antigens)>>	<<0 (RNA, Messenger)>>	<<10>>
<<SON>>	<<Saccharomyces cerevisiae Proteins/genetics/*metabolism>>	<<10>>
<<SON>>	<<EC 3.6.4.13 (RNA Helicases)>>	<<10>>
<<SON>>	<<RNA, Messenger/*metabolism>>	<<10>>
<<Female>>	<<Adolescent>>	<<10>>
<<0 (RNA, Messenger)>>	<<DEAD-box RNA Helicases>>	<<10>>
<<0 (RNA, Messenger)>>	<<0 (Carrier Proteins)>>	<<10>>
<<0 (RNA, Messenger)>>	<<Amino Acid Sequence>>	<<10>>
<<0 (Saccharomyces cerevisiae Proteins)>>	<<RNA, Messenger/*metabolism>>	<<10>>
<<0 (Nuclear Pore Complex Proteins)>>	<<7IGF0S7R8I (Phytic Acid)>>	<<10>>
<<0 (Nuclear Pore Complex Proteins)>>	<<Protein Binding>>	<<10>>
<<EC 3.6.4.13 (DEAD-box RNA Helicases)>>	<<Cell Nucleus/*metabolism>>	<<9>>
<<EC 3.6.4.13 (DEAD-box RNA Helicases)>>	<<RNA, Messenger/metabolism>>	<<9>>
<<0 (Nucleocytoplasmic Transport Proteins)>>	<<0 (MEX67 protein, S cerevisiae)>>	<<9>>
<<0 (Nucleocytoplasmic Transport Proteins)>>	<<Cytoplasm/metabolism>>	<<9>>
<<0 (DNA-Binding Proteins)>>	<<Female>>	<<9>>
<<0 (Minor Histocompatibility Antigens)>>	<<Male>>	<<9>>
<<0 (Minor Histocompatibility Antigens)>>	<<DNA-Binding Proteins/*genetics>>	<<9>>
<<SON>>	<<Active Transport, Cell Nucleus>>	<<9>>
<<SON>>	<<0 (Ribonucleoproteins)>>	<<9>>
<<SON>>	<<Male>>	<<9>>
<<SON>>	<<DNA-Binding Proteins/*genetics>>	<<9>>
<<SON>>	<<Protein Binding>>	<<9>>
<<SON>>	<<HeLa Cells>>	<<9>>
<<0 (RNA-Binding Proteins)>>	<<0 (MEX67 protein, S cerevisiae)>>	<<9>>
<<0 (RNA-Binding Proteins)>>	<<0 (Nuclear Pore Complex Proteins)>>	<<9>>
<<0 (RNA-Binding Proteins)>>	<<EC 3.6.4.13 (RNA Helicases)>>	<<9>>
<<Female>>	<<Child>>	<<9>>
<<0 (RNA, Messenger)>>	<<Saccharomyces cerevisiae Proteins/genetics/*metabolism>>	<<9>>
<<0 (Carrier Proteins)>>	<<0 (Saccharomyces cerevisiae Proteins)>>	<<9>>
<<0 (Saccharomyces cerevisiae Proteins)>>	<<0 (Ribonucleoproteins)>>	<<9>>
<<0 (Saccharomyces cerevisiae Proteins)>>	<<Nucleocytoplasmic Transport Proteins/genetics/*metabolism>>	<<9>>
<<0 (Saccharomyces cerevisiae Proteins)>>	<<0 (MEX67 protein, S cerevisiae)>>	<<9>>
<<0 (Saccharomyces cerevisiae Proteins)>>	<<7IGF0S7R8I (Phytic Acid)>>	<<9>>
<<0 (Saccharomyces cerevisiae Proteins)>>	<<Protein Binding>>	<<9>>
<<Phytic Acid/*metabolism>>	<<7IGF0S7R8I (Phytic Acid)>>	<<9>>
<<Male>>	<<Child>>	<<9>>
<<0 (MEX67 protein, S cerevisiae)>>	<<0 (Nuclear Proteins)>>	<<9>>
<<Molecular Sequence Data>>	<<Cloning, Molecular>>	<<9>>
<<EC 3.6.4.13 (DEAD-box RNA Helicases)>>	<<Active Transport, Cell Nucleus/physiology>>	<<8>>
<<EC 3.6.4.13 (DEAD-box RNA Helicases)>>	<<Phytic Acid/*metabolism>>	<<8>>
<<EC 3.6.4.13 (DEAD-box RNA Helicases)>>	<<0 (MEX67 protein, S cerevisiae)>>	<<8>>
<<EC 3.6.4.13 (DEAD-box RNA Helicases)>>	<<Cytoplasm/metabolism>>	<<8>>
<<0 (Nucleocytoplasmic Transport Proteins)>>	<<Cell Nucleus/*metabolism>>	<<8>>
<<0 (Nucleocytoplasmic Transport Proteins)>>	<<EC 3.6.1.- (Adenosine Triphosphatases)>>	<<8>>
<<0 (Nucleocytoplasmic Transport Proteins)>>	<<Active Transport, Cell Nucleus/physiology>>	<<8>>
<<0 (Nucleocytoplasmic Transport Proteins)>>	<<Nuclear Pore/metabolism>>	<<8>>
<<0 (DNA-Binding Proteins)>>	<<Minor Histocompatibility Antigens/*genetics>>	<<8>>
<<0 (DNA-Binding Proteins)>>	<<Syndrome>>	<<8>>
<<0 (DNA-Binding Proteins)>>	<<0 (Nuclear Proteins)>>	<<8>>
<<0 (DNA-Binding Proteins)>>	<<Base Sequence>>	<<8>>
<<0 (Minor Histocompatibility Antigens)>>	<<Female>>	<<8>>
<<0 (Minor Histocompatibility Antigens)>>	<<Minor Histocompatibility Antigens/*genetics>>	<<8>>
<<0 (Minor Histocompatibility Antigens)>>	<<HeLa Cells>>	<<8>>
<<SON>>	<<Female>>	<<8>>
<<SON>>	<<Minor Histocompatibility Antigens/*genetics>>	<<8>>
<<SON>>	<<DEAD-box RNA Helicases/genetics/*metabolism>>	<<8>>
<<SON>>	<<Nucleocytoplasmic Transport Proteins/genetics/*metabolism>>	<<8>>
<<SON>>	<<Syndrome>>	<<8>>
<<SON>>	<<0 (MEX67 protein, S cerevisiae)>>	<<8>>
<<SON>>	<<0 (messenger ribonucleoprotein)>>	<<8>>
<<SON>>	<<7IGF0S7R8I (Phytic Acid)>>	<<8>>
<<SON>>	<<RNA, Messenger/metabolism>>	<<8>>
<<0 (RNA-Binding Proteins)>>	<<0 (Ribonucleoproteins)>>	<<8>>
<<0 (RNA-Binding Proteins)>>	<<0 (messenger ribonucleoprotein)>>	<<8>>
<<RNA, Messenger/genetics/metabolism>>	<<0 (RNA, Messenger)>>	<<8>>
<<Child, Preschool>>	<<Male>>	<<8>>
<<0 (RNA, Messenger)>>	<<EC 3.6.1.- (Adenosine Triphosphatases)>>	<<8>>
<<0 (RNA, Messenger)>>	<<Phytic Acid/*metabolism>>	<<8>>
<<0 (RNA, Messenger)>>	<<Models, Biological>>	<<8>>
<<0 (RNA, Messenger)>>	<<Nuclear Pore/metabolism>>	<<8>>
<<0 (Carrier Proteins)>>	<<0 (Nuclear Pore Complex Proteins)>>	<<8>>
<<0 (Carrier Proteins)>>	<<0 (GLE1 protein, S cerevisiae)>>	<<8>>
<<0 (Saccharomyces cerevisiae Proteins)>>	<<Saccharomyces cerevisiae/genetics/*metabolism>>	<<8>>
<<0 (Saccharomyces cerevisiae Proteins)>>	<<DEAD-box RNA Helicases/genetics/*metabolism>>	<<8>>
<<0 (Saccharomyces cerevisiae Proteins)>>	<<0 (messenger ribonucleoprotein)>>	<<8>>
<<0 (Saccharomyces cerevisiae Proteins)>>	<<DEAD-box RNA Helicases>>	<<8>>
<<0 (Saccharomyces cerevisiae Proteins)>>	<<0 (RNA, Fungal)>>	<<8>>
<<0 (Ribonucleoproteins)>>	<<RNA, Messenger/*metabolism>>	<<8>>
<<DEAD-box RNA Helicases/genetics/*metabolism>>	<<Nucleocytoplasmic Transport Proteins/genetics/*metabolism>>	<<8>>
<<0 (Nuclear Pore Complex Proteins)>>	<<0 (Nuclear Proteins)>>	<<8>>
<<0 (Nuclear Pore Complex Proteins)>>	<<RNA, Messenger/*metabolism>>	<<8>>
<<0 (Nuclear Pore Complex Proteins)>>	<<Mutation>>	<<8>>
<<0 (Nuclear Pore Complex Proteins)>>	<<RNA, Messenger/metabolism>>	<<8>>
<<0 (Nuclear Proteins)>>	<<Molecular Sequence Data>>	<<8>>
<<RNA, Messenger/*metabolism>>	<<EC 3.6.4.13 (RNA Helicases)>>	<<8>>
<<Molecular Sequence Data>>	<<Sequence Homology, Amino Acid>>	<<8>>
<<Amino Acid Sequence>>	<<Base Sequence>>	<<8>>
<<Mice>>	<<Base Sequence>>	<<8>>
<<Adolescent>>	<<Child>>	<<8>>
<<EC 3.6.4.13 (DEAD-box RNA Helicases)>>	<<Saccharomyces cerevisiae/genetics/*metabolism>>	<<7>>
<<EC 3.6.4.13 (DEAD-box RNA Helicases)>>	<<Nucleocytoplasmic Transport Proteins/genetics/metabolism>>	<<7>>
<<EC 3.6.4.13 (DEAD-box RNA Helicases)>>	<<0 (Carrier Proteins)>>	<<7>>
<<EC 3.6.4.13 (DEAD-box RNA Helicases)>>	<<Nuclear Pore/metabolism>>	<<7>>
<<EC 3.6.4.13 (DEAD-box RNA Helicases)>>	<<0 (RNA, Fungal)>>	<<7>>
<<EC 3.6.4.13 (DEAD-box RNA Helicases)>>	<<0 (NUP159 protein, S cerevisiae)>>	<<7>>
<<0 (Nucleocytoplasmic Transport Proteins)>>	<<RNA Transport>>	<<7>>
<<0 (Nucleocytoplasmic Transport Proteins)>>	<<Saccharomyces cerevisiae/genetics/*metabolism>>	<<7>>
<<0 (Nucleocytoplasmic Transport Proteins)>>	<<Nucleocytoplasmic Transport Proteins/genetics/metabolism>>	<<7>>
<<0 (Nucleocytoplasmic Transport Proteins)>>	<<Phytic Acid/*metabolism>>	<<7>>
<<0 (Nucleocytoplasmic Transport Proteins)>>	<<0 (Carrier Proteins)>>	<<7>>
<<0 (Nucleocytoplasmic Transport Proteins)>>	<<0 (RNA, Fungal)>>	<<7>>
<<0 (Nucleocytoplasmic Transport Proteins)>>	<<0 (NUP159 protein, S cerevisiae)>>	<<7>>
<<EC 3.6.1.- (DDX19B protein, human)>>	<<0 (RNA-Binding Proteins)>>	<<7>>
<<0 (DNA-Binding Proteins)>>	<<Child, Preschool>>	<<7>>
<<0 (DNA-Binding Proteins)>>	<<0 (RNA Precursors)>>	<<7>>
<<0 (Minor Histocompatibility Antigens)>>	<<Child, Preschool>>	<<7>>
<<0 (Minor Histocompatibility Antigens)>>	<<Syndrome>>	<<7>>
<<0 (Minor Histocompatibility Antigens)>>	<<0 (RNA Precursors)>>	<<7>>
<<Cell Nucleus/metabolism>>	<<SON>>	<<7>>
<<SON>>	<<Child, Preschool>>	<<7>>
<<SON>>	<<0 (Carrier Proteins)>>	<<7>>
<<SON>>	<<Saccharomyces cerevisiae/genetics/*metabolism>>	<<7>>
<<SON>>	<<Nucleocytoplasmic Transport Proteins/genetics/metabolism>>	<<7>>
<<SON>>	<<DEAD-box RNA Helicases>>	<<7>>
<<SON>>	<<Mice>>	<<7>>
<<SON>>	<<0 (RNA Precursors)>>	<<7>>
<<SON>>	<<0 (RNA, Fungal)>>	<<7>>
<<SON>>	<<Molecular Sequence Data>>	<<7>>
<<SON>>	<<Amino Acid Sequence>>	<<7>>
<<0 (RNA-Binding Proteins)>>	<<DEAD-box RNA Helicases>>	<<7>>
<<0 (RNA, Messenger)>>	<<Cytoplasm/metabolism>>	<<7>>
<<0 (RNA, Messenger)>>	<<HeLa Cells>>	<<7>>
<<0 (RNA, Messenger)>>	<<0 (NUP159 protein, S cerevisiae)>>	<<7>>
<<0 (RNA, Messenger)>>	<<0 (RNA, Fungal)>>	<<7>>
<<0 (RNA, Messenger)>>	<<Sequence Homology, Amino Acid>>	<<7>>
<<0 (RNA, Messenger)>>	<<Cloning, Molecular>>	<<7>>
<<Minor Histocompatibility Antigens/*genetics>>	<<DNA-Binding Proteins/*genetics>>	<<7>>
<<Active Transport, Cell Nucleus>>	<<Protein Binding>>	<<7>>
<<0 (Saccharomyces cerevisiae Proteins)>>	<<Cell Nucleus/*metabolism>>	<<7>>
<<0 (Saccharomyces cerevisiae Proteins)>>	<<Nucleocytoplasmic Transport Proteins/genetics/metabolism>>	<<7>>
<<0 (Saccharomyces cerevisiae Proteins)>>	<<EC 3.6.1.- (Adenosine Triphosphatases)>>	<<7>>
<<0 (Saccharomyces cerevisiae Proteins)>>	<<Active Transport, Cell Nucleus/physiology>>	<<7>>
<<0 (Saccharomyces cerevisiae Proteins)>>	<<0 (NUP159 protein, S cerevisiae)>>	<<7>>
<<Cell Nucleus/*metabolism>>	<<0 (Ribonucleoproteins)>>	<<7>>
<<Cell Nucleus/*metabolism>>	<<RNA, Messenger/*metabolism>>	<<7>>
<<0 (Ribonucleoproteins)>>	<<0 (Nuclear Pore Complex Proteins)>>	<<7>>
<<Nucleocytoplasmic Transport Proteins/genetics/*metabolism>>	<<Saccharomyces cerevisiae Proteins/genetics/*metabolism>>	<<7>>
<<0 (Nuclear Pore Complex Proteins)>>	<<0 (messenger ribonucleoprotein)>>	<<7>>
<<0 (Nuclear Pore Complex Proteins)>>	<<Phytic Acid/*metabolism>>	<<7>>
<<0 (Nuclear Pore Complex Proteins)>>	<<0 (NUP159 protein, S cerevisiae)>>	<<7>>
<<7IGF0S7R8I (Phytic Acid)>>	<<0 (GLE1 protein, S cerevisiae)>>	<<7>>
<<7IGF0S7R8I (Phytic Acid)>>	<<RNA, Messenger/*metabolism>>	<<7>>
<<Molecular Sequence Data>>	<<Sequence Alignment>>	<<7>>
<<Sequence Alignment>>	<<Amino Acid Sequence>>	<<7>>
<<Amino Acid Sequence>>	<<Sequence Homology, Amino Acid>>	<<7>>
<<Amino Acid Sequence>>	<<Cloning, Molecular>>	<<7>>
<<EC 3.6.4.13 (DEAD-box RNA Helicases)>>	<<0 (Peptide Termination Factors)>>	<<6>>
<<EC 3.6.4.13 (DEAD-box RNA Helicases)>>	<<63231-63-0 (RNA)>>	<<6>>
<<EC 3.6.4.13 (DEAD-box RNA Helicases)>>	<<8L70Q75FXE (Adenosine Triphosphate)>>	<<6>>
<<EC 3.6.4.13 (DEAD-box RNA Helicases)>>	<<DEAD-box RNA Helicases/*metabolism>>	<<6>>
<<EC 3.6.4.13 (DEAD-box RNA Helicases)>>	<<RNA Helicases/genetics/*metabolism>>	<<6>>
<<EC 3.6.4.13 (DEAD-box RNA Helicases)>>	<<Molecular Sequence Data>>	<<6>>
<<EC 3.6.4.13 (DEAD-box RNA Helicases)>>	<<Amino Acid Sequence>>	<<6>>
<<EC 3.6.4.13 (DEAD-box RNA Helicases)>>	<<Nucleocytoplasmic Transport Proteins/metabolism>>	<<6>>
<<EC 3.6.4.13 (DEAD-box RNA Helicases)>>	<<DEAD-box RNA Helicases/metabolism>>	<<6>>
<<EC 3.6.4.13 (DEAD-box RNA Helicases)>>	<<HeLa Cells>>	<<6>>
<<0 (Nucleocytoplasmic Transport Proteins)>>	<<63231-63-0 (RNA)>>	<<6>>
<<0 (Nucleocytoplasmic Transport Proteins)>>	<<0 (Gle1 protein, human)>>	<<6>>
<<0 (Nucleocytoplasmic Transport Proteins)>>	<<Nucleocytoplasmic Transport Proteins/*metabolism>>	<<6>>
<<0 (Nucleocytoplasmic Transport Proteins)>>	<<Cell Nucleus/metabolism>>	<<6>>
<<0 (Nucleocytoplasmic Transport Proteins)>>	<<Molecular Sequence Data>>	<<6>>
<<0 (Nucleocytoplasmic Transport Proteins)>>	<<Amino Acid Sequence>>	<<6>>
<<0 (Nucleocytoplasmic Transport Proteins)>>	<<Nucleocytoplasmic Transport Proteins/metabolism>>	<<6>>
<<0 (Nucleocytoplasmic Transport Proteins)>>	<<RNA, Messenger/genetics/*metabolism>>	<<6>>
<<EC 3.6.1.- (DDX19B protein, human)>>	<<0 (Saccharomyces cerevisiae Proteins)>>	<<6>>
<<EC 3.6.1.- (DDX19B protein, human)>>	<<RNA, Messenger/*metabolism>>	<<6>>
<<0 (DNA-Binding Proteins)>>	<<Cell Line>>	<<6>>
<<0 (DNA-Binding Proteins)>>	<<RNA Interference>>	<<6>>
<<0 (DNA-Binding Proteins)>>	<<0 (Transcription Factors)>>	<<6>>
<<0 (DNA-Binding Proteins)>>	<<DNA-Binding Proteins/metabolism>>	<<6>>
<<0 (DNA-Binding Proteins)>>	<<Cloning, Molecular>>	<<6>>
<<0 (Minor Histocompatibility Antigens)>>	<<RNA Interference>>	<<6>>
<<0 (Minor Histocompatibility Antigens)>>	<<Mice>>	<<6>>
<<Cell Nucleus/metabolism>>	<<0 (RNA, Messenger)>>	<<6>>
<<Cell Nucleus/metabolism>>	<<0 (Saccharomyces cerevisiae Proteins)>>	<<6>>
<<SON>>	<<RNA Interference>>	<<6>>
<<SON>>	<<RNA, Messenger/genetics/metabolism>>	<<6>>
<<SON>>	<<Phenotype>>	<<6>>
<<SON>>	<<EC 3.6.1.- (Adenosine Triphosphatases)>>	<<6>>
<<SON>>	<<Active Transport, Cell Nucleus/physiology>>	<<6>>
<<SON>>	<<0 (NUP159 protein, S cerevisiae)>>	<<6>>
<<SON>>	<<Cytoplasm/metabolism>>	<<6>>
<<0 (RNA-Binding Proteins)>>	<<Molecular Sequence Data>>	<<6>>
<<0 (RNA-Binding Proteins)>>	<<Amino Acid Sequence>>	<<6>>
<<0 (RNA-Binding Proteins)>>	<<Active Transport, Cell Nucleus>>	<<6>>
<<0 (RNA-Binding Proteins)>>	<<Cell Nucleus/*metabolism>>	<<6>>
<<0 (RNA-Binding Proteins)>>	<<RNA, Messenger/*metabolism>>	<<6>>
<<0 (RNA-Binding Proteins)>>	<<Protein Binding>>	<<6>>
<<0 (RNA-Binding Proteins)>>	<<0 (Carrier Proteins)>>	<<6>>
<<0 (RNA-Binding Proteins)>>	<<RNA, Messenger/metabolism>>	<<6>>
<<0 (RNA-Binding Proteins)>>	<<RNA-Binding Proteins/genetics/metabolism>>	<<6>>
<<0 (RNA-Binding Proteins)>>	<<RNA-Binding Proteins/*metabolism>>	<<6>>
<<0 (RNA, Messenger)>>	<<Saccharomyces cerevisiae/genetics/*metabolism>>	<<6>>
<<0 (RNA, Messenger)>>	<<Nucleocytoplasmic Transport Proteins/genetics/*metabolism>>	<<6>>
<<0 (RNA, Messenger)>>	<<Active Transport, Cell Nucleus/physiology>>	<<6>>
<<0 (RNA, Messenger)>>	<<Nuclear Pore/*metabolism>>	<<6>>
<<0 (RNA, Messenger)>>	<<DEAD-box RNA Helicases/metabolism>>	<<6>>
<<0 (RNA, Messenger)>>	<<Minor Histocompatibility Antigens>>	<<6>>
<<0 (RNA, Messenger)>>	<<Mice>>	<<6>>
<<0 (RNA, Messenger)>>	<<RNA, Messenger/genetics/*metabolism>>	<<6>>
<<0 (RNA, Messenger)>>	<<*RNA Transport>>	<<6>>
<<0 (RNA, Messenger)>>	<<0 (MEX67 protein, S cerevisiae)>>	<<6>>
<<0 (RNA, Messenger)>>	<<Binding Sites>>	<<6>>
<<Minor Histocompatibility Antigens/*genetics>>	<<Syndrome>>	<<6>>
<<Active Transport, Cell Nucleus>>	<<Cell Nucleus/*metabolism>>	<<6>>
