| Entity                                                                                                 |   Number of occurrences |
| tfpi protein                                                                                           |                     419 |
| diabetic                                                                                               |                     413 |
| luciferase                                                                                             |                     409 |
| tf-fviia                                                                                               |                     407 |
| etp                                                                                                    |                     406 |
| at-iii                                                                                                 |                     405 |
| gle1                                                                                                   |                     401 |
| acute myocardial infarction                                                                            |                     398 |
| dvt                                                                                                    |                     397 |
| arg                                                                                                    |                     395 |
| cad                                                                                                    |                     395 |
| interleukin-6                                                                                          |                     395 |
| thrombus                                                                                               |                     394 |
| triglycerides                                                                                          |                     393 |
| prothrombinase complex                                                                                 |                     390 |
| e-selectin                                                                                             |                     385 |
| heparanase                                                                                             |                     384 |
| tfpi-2 protein                                                                                         |                     384 |
| e. coli                                                                                                |                     383 |
| carboxy                                                                                                |                     381 |
| kunitz-type protease                                                                                   |                     381 |
| atiii                                                                                                  |                     381 |
| fixa                                                                                                   |                     380 |
| ubiquitin                                                                                              |                     379 |
| human tissue factor pathway inhibitor                                                                  |                     375 |
| saccharomyces cerevisiae                                                                               |                     373 |
| crp                                                                                                    |                     373 |
| estrogen                                                                                               |                     370 |
| atherosclerotic plaques                                                                                |                     370 |
| tnf                                                                                                    |                     370 |
| laci                                                                                                   |                     367 |
| hemophilia a                                                                                           |                     366 |
| tissue factor complex                                                                                  |                     366 |
| nucleotide                                                                                             |                     362 |
| atherosclerotic plaque                                                                                 |                     359 |
| plasma tissue factor                                                                                   |                     358 |
| deep vein thrombosis                                                                                   |                     358 |
| nsclc                                                                                                  |                     358 |
| prothrombin fragment 1+2                                                                               |                     355 |
| matrix metalloproteinases                                                                              |                     349 |
| il-8                                                                                                   |                     346 |
| plasminogen activator inhibitor                                                                        |                     344 |
| oxygen                                                                                                 |                     343 |
| caspase                                                                                                |                     343 |
| lung cancer                                                                                            |                     340 |
| ncbp2                                                                                                  |                     339 |
| hypertension                                                                                           |                     337 |
| fii                                                                                                    |                     336 |
| vascular endothelial growth factor                                                                     |                     335 |
| cpg                                                                                                    |                     335 |
| plasminogen activator                                                                                  |                     331 |
| acute coronary syndromes                                                                               |                     330 |
| plasma kallikrein                                                                                      |                     327 |
| human factor xa                                                                                        |                     324 |
| no                                                                                                     |                     324 |
| tfpi-2 promoter                                                                                        |                     324 |
| factor va                                                                                              |                     322 |
| tf protein                                                                                             |                     322 |
| thromboembolism                                                                                        |                     321 |
| cvd                                                                                                    |                     320 |
| upa                                                                                                    |                     317 |
| preeclampsia                                                                                           |                     315 |
| tg                                                                                                     |                     312 |
| kunitz domains                                                                                         |                     311 |
| human tissue factor pathway inhibitor-2                                                                |                     310 |
| epi                                                                                                    |                     309 |
| pai                                                                                                    |                     308 |
| pigs                                                                                                   |                     308 |
| kunitz-type serine protease                                                                            |                     307 |
| thrombotic complications                                                                               |                     306 |
| low-density lipoprotein                                                                                |                     306 |
| carboxyl                                                                                               |                     301 |
| atherosclerotic                                                                                        |                     301 |
| amino                                                                                                  |                     299 |
| iaps                                                                                                   |                     297 |
| lys                                                                                                    |                     296 |
| rfviia                                                                                                 |                     295 |
| haemophilia                                                                                            |                     294 |
| hd                                                                                                     |                     293 |
| atp                                                                                                    |                     291 |
| plasminogen activator inhibitor 1                                                                      |                     291 |
| glioma                                                                                                 |                     290 |
| plasma tissue factor pathway inhibitor                                                                 |                     289 |
| anti-iia                                                                                               |                     289 |
| bax                                                                                                    |                     286 |
| non-small cell lung cancer                                                                             |                     282 |
| creatinine                                                                                             |                     280 |
| anti-tfpi                                                                                              |                     279 |
| mtt                                                                                                    |                     278 |
| human tfpi                                                                                             |                     278 |
| coronary heart disease                                                                                 |                     275 |
| diabetes mellitus                                                                                      |                     275 |
| factor ixa                                                                                             |                     273 |
| ca2+                                                                                                   |                     272 |
| mmp-9                                                                                                  |                     272 |
| unstable angina                                                                                        |                     271 |
| kunitz-type serine proteinase                                                                          |                     271 |
| npc                                                                                                    |                     268 |
| mi                                                                                                     |                     268 |
| hirudin                                                                                                |                     268 |
| icam-1                                                                                                 |                     268 |
| triglyceride                                                                                           |                     265 |
| xiap                                                                                                   |                     265 |
| septic shock                                                                                           |                     264 |
| trauma                                                                                                 |                     264 |
| ufh                                                                                                    |                     263 |
| iap                                                                                                    |                     263 |
| il-10                                                                                                  |                     263 |
| hdl                                                                                                    |                     260 |
| mmp                                                                                                    |                     259 |
| tissue factor pathway inhibitor-1                                                                      |                     257 |
| chymotrypsin                                                                                           |                     257 |
| hypoxia                                                                                                |                     256 |
| glioblastoma                                                                                           |                     255 |
| androgen                                                                                               |                     249 |
| stf                                                                                                    |                     248 |
| pap                                                                                                    |                     246 |
| sds                                                                                                    |                     244 |
| pig                                                                                                    |                     243 |
| tfpi2                                                                                                  |                     243 |
| mmps                                                                                                   |                     242 |
| fibrinopeptide a                                                                                       |                     242 |
| malignancies                                                                                           |                     241 |
| antiplasmin                                                                                            |                     241 |
| tissue factor-factor viia                                                                              |                     239 |
| warfarin                                                                                               |                     239 |
| hemorrhage                                                                                             |                     238 |
| capd                                                                                                   |                     238 |
| caspase-3                                                                                              |                     237 |
| urokinase                                                                                              |                     237 |
| disulfide                                                                                              |                     237 |
| annexin v                                                                                              |                     237 |
| tyrosine                                                                                               |                     236 |
| homocysteine                                                                                           |                     236 |
| acute lung injury                                                                                      |                     235 |
| factor v leiden                                                                                        |                     235 |
| fxi                                                                                                    |                     235 |
| f5                                                                                                     |                     234 |
| leukemia                                                                                               |                     233 |
| tfpi deficiency                                                                                        |                     233 |
| aspirin                                                                                                |                     233 |
| zn                                                                                                     |                     232 |
| kunitz-type                                                                                            |                     232 |
| thrombocytopenia                                                                                       |                     232 |
| hepatocellular carcinoma                                                                               |                     231 |
| thbd                                                                                                   |                     231 |
| mmp-2                                                                                                  |                     231 |
| tinzaparin                                                                                             |                     230 |
| prothrombin fragment 1 + 2                                                                             |                     230 |
| lysine                                                                                                 |                     229 |
| bleeding disorders                                                                                     |                     227 |
| pancreatic cancer                                                                                      |                     226 |
| vascular disease                                                                                       |                     226 |
| cu                                                                                                     |                     226 |
| stm                                                                                                    |                     226 |
| superoxide                                                                                             |                     225 |
| lmwh                                                                                                   |                     224 |
| aptt                                                                                                   |                     224 |
| pt                                                                                                     |                     223 |
| ischemic stroke                                                                                        |                     222 |
| coagulation factor                                                                                     |                     222 |
| acute coronary syndrome                                                                                |                     222 |
| k3                                                                                                     |                     219 |
| reverse transcriptase                                                                                  |                     219 |
| septic                                                                                                 |                     218 |
| microvascular thrombosis                                                                               |                     218 |
| placental protein 5                                                                                    |                     218 |
| adp                                                                                                    |                     217 |
| prostacyclin                                                                                           |                     216 |
| vitamin k                                                                                              |                     215 |
| at iii                                                                                                 |                     215 |
| k2                                                                                                     |                     213 |
| bcl-2                                                                                                  |                     213 |
| 125i                                                                                                   |                     212 |
| cardiovascular diseases                                                                                |                     212 |
| covid-19                                                                                               |                     212 |
| glu                                                                                                    |                     211 |
| polyacrylamide                                                                                         |                     211 |
| intimal hyperplasia                                                                                    |                     211 |
| thromboembolic complications                                                                           |                     211 |
| mcp-1                                                                                                  |                     211 |
| tfpi-                                                                                                  |                     210 |
| thrombin-activatable fibrinolysis inhibitor                                                            |                     210 |
| alanine                                                                                                |                     209 |
| obesity                                                                                                |                     209 |
| kunitz-type domain                                                                                     |                     209 |
| phosphatidylserine                                                                                     |                     209 |
| melanoma                                                                                               |                     209 |
| cysteine                                                                                               |                     209 |
| kunitz-type proteinase                                                                                 |                     208 |
| statins                                                                                                |                     208 |
| vcam-1                                                                                                 |                     208 |
| albumin                                                                                                |                     205 |
| pi3k                                                                                                   |                     205 |
| hypercoagulability                                                                                     |                     205 |
