Disease rank from son to all disease using shortest_path
| Entity                                                                                    |        Rank |
| leukoerythroblastic anaemia                                                               | 0.617647    |
| weakness in right upper limb                                                              | 0.617647    |
| cutaneous disease                                                                         | 0.617647    |
| favre-racouchot syndrome                                                                  | 0.617647    |
| onychophagy                                                                               | 0.597666    |
| aorto-iliac steal syndrome                                                                | 0.597033    |
| malabsorption                                                                             | 0.597033    |
| split-tooth syndrome                                                                      | 0.59478     |
| degenerative spine changes                                                                | 0.590909    |
| shunt obstruction                                                                         | 0.590909    |
| subarachnoid haemorrhage                                                                  | 0.588799    |
| x-linked mental retardation (xlmr) disorders                                              | 0.583333    |
| tumours of the frontal white matter                                                       | 0.581843    |
| hemiplegic cerebral palsy                                                                 | 0.578766    |
| hemineglect                                                                               | 0.578766    |
| sex-linked recessive oligophrenia                                                         | 0.577778    |
| hereditary defects of metabolism                                                          | 0.577778    |
| mentally deranged                                                                         | 0.577778    |
| hemiplegic muscle spasticity                                                              | 0.570588    |
| disseminated oligodendroglioma                                                            | 0.568509    |
| leptomeningeal metastatic dissemination to the                                            | 0.566667    |
| frontal and cystic primary intracerebral lesions                                          | 0.566667    |
| autistic spectrum disorders                                                               | 0.565163    |
| intrinsic brain lesions                                                                   | 0.564343    |
| disease and non-battle injury                                                             | 0.563114    |
| dnbi                                                                                      | 0.563114    |
| thrombotic microangiopathies                                                              | 0.561698    |
| infarction in the hand                                                                    | 0.560666    |
| peripheral nerve involvement                                                              | 0.56047     |
| bisalbuminaemia                                                                           | 0.56047     |
| ttts cardiomyopathy                                                                       | 0.559524    |
| ttts                                                                                      | 0.559524    |
| echocardiographic abnormality                                                             | 0.559524    |
| perinatal and infectious diseases                                                         | 0.558706    |
| physical disability                                                                       | 0.554376    |
| hepatitis b or c viruses                                                                  | 0.55386     |
| liver sick                                                                                | 0.55319     |
| hyperlipidaemic                                                                           | 0.552632    |
| primary malignant neoplasms                                                               | 0.552472    |
| malignant neuroepithelial tumors                                                          | 0.552472    |
| displacement of the superior sagittal sinus                                               | 0.551282    |
| sagittal sinus displacement                                                               | 0.551282    |
| rokitansky syndrome                                                                       | 0.546875    |
| supratentorial cerebral tumors                                                            | 0.545455    |
| malignant oligodendroglioma of brain                                                      | 0.544396    |
| spastic drop foot                                                                         | 0.543718    |
| ef deficits                                                                               | 0.542254    |
| executive function (ef) deficits                                                          | 0.542254    |
| autistic and communication handicapped children                                           | 0.542254    |
| teacch                                                                                    | 0.542254    |
| mixed mania                                                                               | 0.540816    |
| latex allergies                                                                           | 0.540444    |
| cutaneous adverse reactions                                                               | 0.539384    |
| preterm labour                                                                            | 0.53869     |
| term and preterm labour                                                                   | 0.53869     |
| icu                                                                                       | 0.534174    |
| nonbacterial syndrome                                                                     | 0.534174    |
| chorioamniotic separation                                                                 | 0.530969    |
| telomeric lesions                                                                         | 0.529022    |
| adult leukodystrophies                                                                    | 0.527641    |
| beta +-thalassemia                                                                        | 0.525157    |
| norwood                                                                                   | 0.525       |
| hereditary muscle disease                                                                 | 0.520583    |
| neurogenetic disorders                                                                    | 0.519086    |
| qtc prolongations                                                                         | 0.517763    |
| hereditary bleeding disorder                                                              | 0.516854    |
| ventricular tachycardia                                                                   | 0.515744    |
| noninfectious diseases                                                                    | 0.515356    |
| muscle function impairment                                                                | 0.513889    |
| wpw syndrome                                                                              | 0.512987    |
| myofascial temporomandibular disorder                                                     | 0.512595    |
| fetal choroid plexus cysts                                                                | 0.511236    |
| growth and mental retardation                                                             | 0.507812    |
| margolis                                                                                  | 0.507253    |
| borderline intellectual functioning                                                       | 0.506757    |
| lettre ehrlich ascites tumor                                                              | 0.506143    |
| ehrlich ascites tumor                                                                     | 0.506143    |
| neoplastic diseases                                                                       | 0.504914    |
| hemophiliac                                                                               | 0.504914    |
| fuligo septica                                                                            | 0.503436    |
| lucerne transient streak virus                                                            | 0.501866    |
| g-cell carcinoid tumor of the duodenum                                                    | 0.501843    |
| primary intramedullary anaplastic oligodendroglioma                                       | 0.501843    |
| glyal and metastatic tumors of the brain                                                  | 0.501843    |
| benign astrocytic and oligodendrocytic tumors of the cerebral hemispheres                 | 0.501843    |
| cerebral hemisphere gliomas                                                               | 0.501843    |
| primary cerebral tumours                                                                  | 0.501843    |
| anaplastic primary brain tumors                                                           | 0.501843    |
| anaplastic brain tumors                                                                   | 0.501843    |
| diffuse low grade gliomas                                                                 | 0.501843    |
| neurological disruption                                                                   | 0.501843    |
| neuropsychiatric features                                                                 | 0.501843    |
| supratentorial low-grade oligodendroglioma                                                | 0.501843    |
| pandemic influenza                                                                        | 0.501565    |
| barre syndrome                                                                            | 0.501565    |
| influenza and other respiratory viruses                                                   | 0.501565    |
| lower limb asymmetry                                                                      | 0.501417    |
| empathy                                                                                   | 0.501245    |
| internalising behaviour difficulties                                                      | 0.501245    |
| aneuploid syndromes                                                                       | 0.501245    |
| eleventh cranial nerve shoulder syndrome                                                  | 0.501229    |
| neurological, developmental, and metabolic disorders                                      | 0.500789    |
| oncology                                                                                  | 0.500614    |
| focal neuronal gigantism                                                                  | 0.500614    |
| non-gliomatous tumors                                                                     | 0.500614    |
| durable hiv suppression                                                                   | 0.500614    |
| cognitive and affective disturbances                                                      | 0.500614    |
| language disturbances                                                                     | 0.500614    |
| dysphasia                                                                                 | 0.500614    |
| malignant gliomas of who-grade 3 or 4                                                     | 0.500614    |
| right frontal anaplastic oligodendroglioma                                                | 0.500614    |
| cranial lesion                                                                            | 0.500614    |
| walker-warburg lissencephaly                                                              | 0.488408    |
| tsdd                                                                                      | 0.47619     |
| rare disorders                                                                            | 0.47619     |
| very short stature                                                                        | 0.47619     |
| growth impairments                                                                        | 0.47619     |
| lichen nitidus                                                                            | 0.47619     |
| generalized lichen nitidus                                                                | 0.47619     |
| silver-russell dwarfs                                                                     | 0.47619     |
| silver-russell dwarfism                                                                   | 0.47619     |
| abnormalities in sexual development                                                       | 0.47619     |
| sexual abnormalities                                                                      | 0.47619     |
| panhypopituitarism                                                                        | 0.47619     |
| structural abnormalities of distal 15q                                                    | 0.47619     |
| metacarpal pseudoepiphyses                                                                | 0.47619     |
| fifth middle or distal phalangeal hypoplasia                                              | 0.47619     |
| slipped capital femoral epiphysis                                                         | 0.47619     |
| polypoid solid masses                                                                     | 0.47619     |
| bladder malacoplakia                                                                      | 0.47619     |
| upper extremity anomalies                                                                 | 0.47619     |
| index ankylosis                                                                           | 0.47619     |
| congenital hypoplastic thumb                                                              | 0.47619     |
| ring-22 syndrome                                                                          | 0.47619     |
| g-ring syndrome                                                                           | 0.47619     |
| but                                                                                       | 0.47619     |
| large vestibular aqueduct syndrome                                                        | 0.47619     |
| sigmoid sinus of the posterior cranial fossa                                              | 0.47619     |
| lvas                                                                                      | 0.47619     |
| sids diaphragms                                                                           | 0.47619     |
| corruption-cynicism syndrome                                                              | 0.47619     |
| mala fide                                                                                 | 0.47619     |
| sullen cynicism                                                                           | 0.47619     |
| thyroid hormone deficiency                                                                | 0.466667    |
| fragile x (a) syndrome                                                                    | 0.466667    |
| impaired speech                                                                           | 0.466667    |
| trisomy of chromosome 14                                                                  | 0.466667    |
| neurotic disturbances                                                                     | 0.466667    |
| paranoid and residual schizophrenia                                                       | 0.466667    |
| 18 trisomy                                                                                | 0.466667    |
| trisomy of band 18q12                                                                     | 0.466667    |
| trisomy of the 18q11 band                                                                 | 0.466667    |
| epileptic convulsions                                                                     | 0.466667    |
| intrauterine infection of hbv                                                             | 0.459562    |
| motor cortex lesions                                                                      | 0.458333    |
| oligodendroglioamas                                                                       | 0.458333    |
| supratentorial glial tumors                                                               | 0.458333    |
| who grade ii ot                                                                           | 0.458333    |
| temozolomide-resistant oligodendrogliomas                                                 | 0.458333    |
| brain malignant gliomas                                                                   | 0.458333    |
| vads                                                                                      | 0.45098     |
| -axial tumours                                                                            | 0.45098     |
| intraventricular fourth ventricle lesion                                                  | 0.45098     |
| malignant cerebral tumors                                                                 | 0.45098     |
| supratentorial low-grade (who grade ii) astrocytoma                                       | 0.45098     |
| parietal-occipital damage                                                                 | 0.45098     |
| impaired functioning of the dorsal visual stream                                          | 0.45098     |
| heschl's gyrus                                                                            | 0.435176    |
| tumors of heschl's gyrus                                                                  | 0.435176    |
| essential temporal lobe language cortex                                                   | 0.435176    |
| flexion contractures of the hip- and knee-joints                                          | 0.428571    |
| congenital clubfeet                                                                       | 0.428571    |
| complications of pregnancy                                                                | 0.424242    |
| intellectual                                                                              | 0.423423    |
| zika-associated guillain-barre syndrome                                                   | 0.422133    |
| acute respiratory syndrome coronavirus 2 (sars-cov-2) infection                           | 0.421581    |
| affective illness                                                                         | 0.42029     |
| weak concentration                                                                        | 0.42029     |
| iom                                                                                       | 0.418509    |
| eruptive vellus hair cysts                                                                | 0.417895    |
| galactorrhea                                                                              | 0.413333    |
| blood stasis (bs) syndrome                                                                | 0.413333    |
| blood stasis syndrome                                                                     | 0.413333    |
| vsd                                                                                       | 0.411821    |
| brain and eye anomalies                                                                   | 0.411485    |
| immune-complex disorders                                                                  | 0.410256    |
| idahs                                                                                     | 0.410256    |
| posterior inferior frontal lobe tumor                                                     | 0.408333    |
| hemispatial neglect                                                                       | 0.408333    |
| spatial hemineglect                                                                       | 0.408333    |
| inferior frontal lobe tumors                                                              | 0.408333    |
| hemispatial                                                                               | 0.408333    |
| midbrain glioma                                                                           | 0.406605    |
| benign intracranial hypertension                                                          | 0.406605    |
| decompression sickness                                                                    | 0.406605    |
| decompression                                                                             | 0.406605    |
| vhb infection                                                                             | 0.406069    |
| context                                                                                   | 0.40599     |
| jm                                                                                        | 0.40599     |
| cpa oligodendrogliomas                                                                    | 0.405764    |
| cerebellopontine angle oligodendroglioma                                                  | 0.405764    |
| brain stem dysfunction                                                                    | 0.405376    |
| hearing-impaired                                                                          | 0.405376    |
| communication disorders                                                                   | 0.405376    |
| cilia dysfunction                                                                         | 0.403846    |
| degeneration of the retina                                                                | 0.403846    |
| avian sarcoma-leukosis                                                                    | 0.402744    |
| tumoral hypoxia                                                                           | 0.4         |
| third ventricle tumors                                                                    | 0.4         |
| 3rd ventricle tumors                                                                      | 0.4         |
| csw                                                                                       | 0.399692    |
| cerebral salt wasting                                                                     | 0.399692    |
| tumour-like lesions                                                                       | 0.396046    |
| homeostasis of hemostasis                                                                 | 0.395833    |
| hbv-related chronic active hepatitis due to hbv                                           | 0.395514    |
| intramedullary spinal metastasis                                                          | 0.3947      |
| intrauterine and postnatal growth disturbances                                            | 0.394558    |
| stricture of the aqueduct of sylvius                                                      | 0.393939    |
| uniparental disomy 17                                                                     | 0.392857    |
| silver-russell features                                                                   | 0.392857    |
| maternal uniparental disomy of                                                            | 0.392857    |
| triangular facial phenotype                                                               | 0.392857    |
| genetic deficit                                                                           | 0.392857    |
| linea alba hernia                                                                         | 0.392857    |
| asymmetry of the lower extremities                                                        | 0.392857    |
| syndactylism of the fingers                                                               | 0.392857    |
| syndactyly of the opposite hand                                                           | 0.392857    |
| absence of two fingers plus                                                               | 0.392857    |
| absence of digits                                                                         | 0.392857    |
| ambiguous genitalia                                                                       | 0.392857    |
| dna methylation abnormalities                                                             | 0.392857    |
| lesions of the hip                                                                        | 0.392857    |
| legg-calve-perthes' disease                                                               | 0.392857    |
| groin or thigh pain                                                                       | 0.392857    |
| perthes' disease                                                                          | 0.392857    |
| low birth-weight syndrome                                                                 | 0.392857    |
| waist and hip pain                                                                        | 0.392857    |
| gluteal muscle syndrome                                                                   | 0.392857    |
| gluteus medius syndrome                                                                   | 0.392857    |
| craniofacial dysproportion                                                                | 0.392857    |
| occupational poisoning                                                                    | 0.392857    |
| silver poisoning                                                                          | 0.392857    |
| catheter related bloodstream infection                                                    | 0.392857    |
| crbsi                                                                                     | 0.392857    |
| cri-du-chat phenotype                                                                     | 0.392857    |
| iridocorneal endothelial (ice) syndome                                                    | 0.392857    |
| temporo-mandibular joint dysfunction                                                      | 0.392857    |
| pain at the temporo-mandibular joint                                                      | 0.392857    |
| multifocal hepatocytic necrosis                                                           | 0.392857    |
| haemorrhagic syndrome                                                                     | 0.392857    |
| deep extensive burns                                                                      | 0.392857    |
| full-thickness skin defects                                                               | 0.392857    |
| congenital nevus                                                                          | 0.392857    |
| giant congenital nevus                                                                    | 0.392857    |
| spindle-cell carcinoid tumors of the lung                                                 | 0.392857    |
| involuntary tremors of the hands or arms, head, jaw and voice                             | 0.392857    |
| intracranial oligodendroglial tumors                                                      | 0.392157    |
| frontal lobe anaplastic oligodendrogliomas                                                | 0.392157    |
| anaplastic mixed oligodendroglioma-astrocytoma                                            | 0.392157    |
| polyomavirus                                                                              | 0.392107    |
| rupture of the aorta                                                                      | 0.391721    |
| erdheim's disease                                                                         | 0.391721    |
| female reproductive disorder                                                              | 0.390476    |
| absence or underdevelopment of the uterus, cervix                                         | 0.390476    |
| developmental deviations                                                                  | 0.390476    |
| motor developmental deviations                                                            | 0.390476    |
| neurophysiological                                                                        | 0.389123    |
| tardive dyskinesia                                                                        | 0.388889    |
| dyskinesia                                                                                | 0.388889    |
| chronic viral hepatitis type b                                                            | 0.38763     |
| silver roussel's syndrome                                                                 | 0.387488    |
| craniocerebral injuries                                                                   | 0.386905    |
| eyelid nystagmus                                                                          | 0.386905    |
| convergence-evoked nystagmus                                                              | 0.386905    |
| tumor of the anterior vermis cerebelli                                                    | 0.386905    |
| cranial defect                                                                            | 0.3869      |
| hepatitis b virus infection-related cirrhosis                                             | 0.385965    |
| hepatitis b virus-associated cirrhosis                                                    | 0.385965    |
| intracranial od                                                                           | 0.385176    |
| somatic disease                                                                           | 0.384615    |
| paranoid syndrome                                                                         | 0.384615    |
| psychic disturbances                                                                      | 0.384615    |
| acute nonlymphocytic leukemia                                                             | 0.384615    |
| bcbl-1 lymphoma                                                                           | 0.384012    |
| romany gypsy                                                                              | 0.383516    |
| recessively inherited disorders                                                           | 0.383516    |
| fitzsimmons-guilbert syndrome                                                             | 0.383333    |
| mentally                                                                                  | 0.383333    |
| autosomal recessive mental retardation                                                    | 0.383333    |
| non syndromic autosomal recessive mental retardation                                      | 0.383333    |
| mimr                                                                                      | 0.383333    |
| chromosome                                                                                | 0.383333    |
| fragile x(a)                                                                              | 0.383333    |
| fragile x(a) syndrome                                                                     | 0.383333    |
| fraxq27 syndrome                                                                          | 0.383333    |
| physical clumsiness                                                                       | 0.383333    |
| prolonged jaundice                                                                        | 0.383333    |
| icterus                                                                                   | 0.383333    |
| phytobezoar obstruction                                                                   | 0.383333    |
| acute bowel obstruction                                                                   | 0.383333    |
| intestinal obstruction                                                                    | 0.383333    |
| abdominal guarding                                                                        | 0.383333    |
| active tb                                                                                 | 0.382755    |
| non-syndromic x linked mental retardation                                                 | 0.382114    |
| trauma of cranium                                                                         | 0.381738    |
| mbgs                                                                                      | 0.381688    |
| mbg                                                                                       | 0.381688    |
| dystrophinopathic                                                                         | 0.381526    |
| quadriplegic                                                                              | 0.381143    |
| cord lesions                                                                              | 0.381143    |
| post-traumatic quadriplegia                                                               | 0.381143    |
| gas                                                                                       | 0.380835    |
| lesions of the deep area of posterior frontal area                                        | 0.380631    |
| tumors of the supra-convexital area of the premotor zone                                  | 0.380631    |
| tumors of the premotor zone of the frontal lobe                                           | 0.380631    |
| coronavirus disease 2019 (covid-19) pandemic                                              | 0.380587    |
| intracranial malignant neoplasms                                                          | 0.380252    |
| cellular ependymoma                                                                       | 0.380252    |
| chronic post-concussional disorder                                                        | 0.379845    |
| veterans brain injury                                                                     | 0.379845    |
| toes or fingers dystonias                                                                 | 0.379845    |
| chronic viral hepatitides b and c                                                         | 0.378424    |
| sars-cov2 pandemic                                                                        | 0.37804     |
| coagulation disturbances                                                                  | 0.376623    |
| hog oligodendroglioma                                                                     | 0.375176    |
| primary immunodeficiency diseases                                                         | 0.375       |
| pids                                                                                      | 0.375       |
| nonanaplastic tumors                                                                      | 0.375       |
| neuroaxonal dystrophies                                                                   | 0.375       |
| neck or back pain                                                                         | 0.375       |
| tumors of the lateral ventricles                                                          | 0.375       |
| tumor of the lateral ventricle                                                            | 0.375       |
| oligodendroglioma of the head of the caudate nucleus and                                  | 0.375       |
| neurological or neuropsychological abnormalities                                          | 0.375       |
| speech or other cognitive impairments                                                     | 0.375       |
| cavernoma of the head of the caudate nucleus                                              | 0.375       |
| congenital imprinting disorder                                                            | 0.373626    |
| microphtalmia                                                                             | 0.372718    |
| microcephally                                                                             | 0.372718    |
| psychomotor and growth retardation                                                        | 0.372718    |
| hair shaft abnormality                                                                    | 0.371105    |
| cheveux incoiffables                                                                      | 0.371105    |
| immune-mediated adverse reactions                                                         | 0.371037    |
