| Entity                                               | Entity                                                        |   Number of cooccurrences |
| dendritic spine abnormalities                        | facial dysmorphism                                            |                         1 |
| dendritic spine abnormalities                        | brain malformation                                            |                         1 |
| dendritic spine abnormalities                        | congenital anomaly syndrome                                   |                         1 |
| dendritic spine abnormalities                        | musculoskeletal abnormalities                                 |                         1 |
| dendritic spine abnormalities                        | neural abnormalities                                          |                         1 |
| neuronal migration defects                           | facial dysmorphism                                            |                         1 |
| neuronal migration defects                           | brain malformation                                            |                         1 |
| neuronal migration defects                           | congenital anomaly syndrome                                   |                         1 |
| neuronal migration defects                           | musculoskeletal abnormalities                                 |                         1 |
| neuronal migration defects                           | neural abnormalities                                          |                         1 |
| facial dysmorphism                                   | brain malformation                                            |                         1 |
| facial dysmorphism                                   | congenital anomaly syndrome                                   |                         1 |
| facial dysmorphism                                   | musculoskeletal abnormalities                                 |                         1 |
| facial dysmorphism                                   | neural abnormalities                                          |                         1 |
| facial dysmorphism                                   | developmental delay                                           |                         1 |
| facial dysmorphism                                   | hypotonia                                                     |                         1 |
| facial dysmorphism                                   | facial abnormalities                                          |                         1 |
| facial dysmorphism                                   | intellectual disabilities                                     |                         1 |
| facial dysmorphism                                   | esotropia                                                     |                         1 |
| facial dysmorphism                                   | neonatal hypotonia                                            |                         1 |
| facial dysmorphism                                   | abnormalities in the heart, genitourinary or skeletal systems |                         1 |
| brain malformation                                   | congenital anomaly syndrome                                   |                         1 |
| brain malformation                                   | musculoskeletal abnormalities                                 |                         1 |
| brain malformation                                   | neural abnormalities                                          |                         1 |
| congenital anomaly syndrome                          | musculoskeletal abnormalities                                 |                         1 |
| congenital anomaly syndrome                          | neural abnormalities                                          |                         1 |
| musculoskeletal abnormalities                        | neural abnormalities                                          |                         1 |
| hypotonia                                            | visual abnormalities                                          |                         1 |
| hypotonia                                            | delayed psychomotor development                               |                         1 |
| hypotonia                                            | dental abnormalities                                          |                         1 |
| hypotonia                                            | disability                                                    |                         1 |
| hypotonia                                            | multisystem developmental disorder                            |                         1 |
| hypotonia                                            | skin and nails abnormalities                                  |                         1 |
| hypotonia                                            | retronychia of the toenails                                   |                         1 |
| hypotonia                                            | gastroparesis                                                 |                         1 |
| hypotonia                                            | intellectual and psychomotor disability                       |                         1 |
| hypotonia                                            | infections of the respiratory tract and internal ear          |                         1 |
| hypotonia                                            | intestinal malrotation                                        |                         1 |
| hypotonia                                            | asymmetry of ventricles                                       |                         1 |
| hypotonia                                            | hypoplastic left heart syndrome                               |                         1 |
| hypotonia                                            | feeding difficulties                                          |                         1 |
| hypotonia                                            | hlhs                                                          |                         1 |
| hypotonia                                            | duodenal atresia                                              |                         1 |
| hypotonia                                            | febrile seizures                                              |                         1 |
| hypotonia                                            | ventriculomegaly                                              |                         1 |
| hypotonia                                            | developmental and speech delay                                |                         1 |
| hypotonia                                            | developmental delay                                           |                         1 |
| hypotonia                                            | facial abnormalities                                          |                         1 |
| hypotonia                                            | intellectual disabilities                                     |                         1 |
| hypotonia                                            | esotropia                                                     |                         1 |
| hypotonia                                            | neonatal hypotonia                                            |                         1 |
| hypotonia                                            | abnormalities in the heart, genitourinary or skeletal systems |                         1 |
| visual abnormalities                                 | delayed psychomotor development                               |                         1 |
| visual abnormalities                                 | dental abnormalities                                          |                         1 |
| visual abnormalities                                 | disability                                                    |                         1 |
| visual abnormalities                                 | multisystem developmental disorder                            |                         1 |
| visual abnormalities                                 | skin and nails abnormalities                                  |                         1 |
| visual abnormalities                                 | retronychia of the toenails                                   |                         1 |
| delayed psychomotor development                      | dental abnormalities                                          |                         1 |
| delayed psychomotor development                      | disability                                                    |                         1 |
| delayed psychomotor development                      | multisystem developmental disorder                            |                         1 |
| delayed psychomotor development                      | skin and nails abnormalities                                  |                         1 |
| delayed psychomotor development                      | retronychia of the toenails                                   |                         1 |
| dental abnormalities                                 | disability                                                    |                         1 |
| dental abnormalities                                 | multisystem developmental disorder                            |                         1 |
| dental abnormalities                                 | skin and nails abnormalities                                  |                         1 |
| dental abnormalities                                 | retronychia of the toenails                                   |                         1 |
| disability                                           | multisystem developmental disorder                            |                         1 |
| disability                                           | skin and nails abnormalities                                  |                         1 |
| disability                                           | retronychia of the toenails                                   |                         1 |
| multisystem developmental disorder                   | skin and nails abnormalities                                  |                         1 |
| multisystem developmental disorder                   | retronychia of the toenails                                   |                         1 |
| skin and nails abnormalities                         | retronychia of the toenails                                   |                         1 |
| gastroparesis                                        | intellectual and psychomotor disability                       |                         1 |
| gastroparesis                                        | infections of the respiratory tract and internal ear          |                         1 |
| gastroparesis                                        | intestinal malrotation                                        |                         1 |
| gastroparesis                                        | asymmetry of ventricles                                       |                         1 |
| gastroparesis                                        | hypoplastic left heart syndrome                               |                         1 |
| gastroparesis                                        | feeding difficulties                                          |                         1 |
| gastroparesis                                        | hlhs                                                          |                         1 |
| gastroparesis                                        | duodenal atresia                                              |                         1 |
| gastroparesis                                        | febrile seizures                                              |                         1 |
| gastroparesis                                        | ventriculomegaly                                              |                         1 |
| gastroparesis                                        | developmental and speech delay                                |                         1 |
| intellectual and psychomotor disability              | infections of the respiratory tract and internal ear          |                         1 |
| intellectual and psychomotor disability              | intestinal malrotation                                        |                         1 |
| intellectual and psychomotor disability              | asymmetry of ventricles                                       |                         1 |
| intellectual and psychomotor disability              | hypoplastic left heart syndrome                               |                         1 |
| intellectual and psychomotor disability              | feeding difficulties                                          |                         1 |
| intellectual and psychomotor disability              | hlhs                                                          |                         1 |
| intellectual and psychomotor disability              | duodenal atresia                                              |                         1 |
| intellectual and psychomotor disability              | febrile seizures                                              |                         1 |
| intellectual and psychomotor disability              | ventriculomegaly                                              |                         1 |
| intellectual and psychomotor disability              | developmental and speech delay                                |                         1 |
| infections of the respiratory tract and internal ear | intestinal malrotation                                        |                         1 |
| infections of the respiratory tract and internal ear | asymmetry of ventricles                                       |                         1 |
| infections of the respiratory tract and internal ear | hypoplastic left heart syndrome                               |                         1 |
| infections of the respiratory tract and internal ear | feeding difficulties                                          |                         1 |
| infections of the respiratory tract and internal ear | hlhs                                                          |                         1 |
| infections of the respiratory tract and internal ear | duodenal atresia                                              |                         1 |
| infections of the respiratory tract and internal ear | febrile seizures                                              |                         1 |
| infections of the respiratory tract and internal ear | ventriculomegaly                                              |                         1 |
| infections of the respiratory tract and internal ear | developmental and speech delay                                |                         1 |
| intestinal malrotation                               | asymmetry of ventricles                                       |                         1 |
| intestinal malrotation                               | hypoplastic left heart syndrome                               |                         1 |
| intestinal malrotation                               | feeding difficulties                                          |                         1 |
| intestinal malrotation                               | hlhs                                                          |                         1 |
| intestinal malrotation                               | duodenal atresia                                              |                         1 |
| intestinal malrotation                               | febrile seizures                                              |                         1 |
| intestinal malrotation                               | ventriculomegaly                                              |                         1 |
| intestinal malrotation                               | developmental and speech delay                                |                         1 |
| asymmetry of ventricles                              | hypoplastic left heart syndrome                               |                         1 |
| asymmetry of ventricles                              | feeding difficulties                                          |                         1 |
| asymmetry of ventricles                              | hlhs                                                          |                         1 |
| asymmetry of ventricles                              | duodenal atresia                                              |                         1 |
| asymmetry of ventricles                              | febrile seizures                                              |                         1 |
| asymmetry of ventricles                              | ventriculomegaly                                              |                         1 |
| asymmetry of ventricles                              | developmental and speech delay                                |                         1 |
| hypoplastic left heart syndrome                      | feeding difficulties                                          |                         1 |
| hypoplastic left heart syndrome                      | hlhs                                                          |                         1 |
| hypoplastic left heart syndrome                      | duodenal atresia                                              |                         1 |
| hypoplastic left heart syndrome                      | febrile seizures                                              |                         1 |
| hypoplastic left heart syndrome                      | ventriculomegaly                                              |                         1 |
| hypoplastic left heart syndrome                      | developmental and speech delay                                |                         1 |
| feeding difficulties                                 | hlhs                                                          |                         1 |
| feeding difficulties                                 | duodenal atresia                                              |                         1 |
| feeding difficulties                                 | febrile seizures                                              |                         1 |
| feeding difficulties                                 | ventriculomegaly                                              |                         1 |
| feeding difficulties                                 | developmental and speech delay                                |                         1 |
| hlhs                                                 | duodenal atresia                                              |                         1 |
| hlhs                                                 | febrile seizures                                              |                         1 |
| hlhs                                                 | ventriculomegaly                                              |                         1 |
| hlhs                                                 | developmental and speech delay                                |                         1 |
| duodenal atresia                                     | febrile seizures                                              |                         1 |
| duodenal atresia                                     | ventriculomegaly                                              |                         1 |
| duodenal atresia                                     | developmental and speech delay                                |                         1 |
| febrile seizures                                     | ventriculomegaly                                              |                         1 |
| febrile seizures                                     | developmental and speech delay                                |                         1 |
| ventriculomegaly                                     | developmental and speech delay                                |                         1 |
| growth hormone deficiency                            | palmar crease                                                 |                         1 |
| growth hormone deficiency                            | autosomal dominant genetic disorder                           |                         1 |
| palmar crease                                        | autosomal dominant genetic disorder                           |                         1 |
| developmental delay                                  | facial abnormalities                                          |                         1 |
| developmental delay                                  | intellectual disabilities                                     |                         1 |
| developmental delay                                  | esotropia                                                     |                         1 |
| developmental delay                                  | neonatal hypotonia                                            |                         1 |
| developmental delay                                  | abnormalities in the heart, genitourinary or skeletal systems |                         1 |
| facial abnormalities                                 | intellectual disabilities                                     |                         1 |
| facial abnormalities                                 | esotropia                                                     |                         1 |
| facial abnormalities                                 | neonatal hypotonia                                            |                         1 |
| facial abnormalities                                 | abnormalities in the heart, genitourinary or skeletal systems |                         1 |
| intellectual disabilities                            | esotropia                                                     |                         1 |
| intellectual disabilities                            | neonatal hypotonia                                            |                         1 |
| intellectual disabilities                            | abnormalities in the heart, genitourinary or skeletal systems |                         1 |
| esotropia                                            | neonatal hypotonia                                            |                         1 |
| esotropia                                            | abnormalities in the heart, genitourinary or skeletal systems |                         1 |
| neonatal hypotonia                                   | abnormalities in the heart, genitourinary or skeletal systems |                         1 |
